Species	Length	LocusType
Dmel	3202	piLocus
Dmel	120759	ciLocus
Dmel	1719	piLocus
Dmel	5694	piLocus
Dmel	1722	piLocus
Dmel	2301	piLocus
Dmel	2545	piLocus
Dmel	7959	piLocus
Dmel	3591	piLocus
Dmel	2636	piLocus
Dmel	3155	piLocus
Dmel	4300	piLocus
Dmel	1881	piLocus
Dmel	4358	piLocus
Dmel	15595	iiLocus
Dmel	1246	niLocus
Dmel	20776	iiLocus
Dmel	1667	piLocus
Dmel	18916	iiLocus
Dmel	1543	piLocus
Dmel	1590	piLocus
Dmel	34262	piLocus
Dmel	13720	piLocus
Dmel	7906	piLocus
Dmel	2500	piLocus
Dmel	3266	piLocus
Dmel	3362	piLocus
Dmel	2670	piLocus
Dmel	1786	piLocus
Dmel	42625	niLocus
Dmel	2107	piLocus
Dmel	62856	piLocus
Dmel	9747	iiLocus
Dmel	1489	piLocus
Dmel	11466	iiLocus
Dmel	4791	piLocus
Dmel	7438	iiLocus
Dmel	3970	piLocus
Dmel	3159	piLocus
Dmel	3129	iiLocus
Dmel	2387	piLocus
Dmel	3021	piLocus
Dmel	4945	piLocus
Dmel	1722	iiLocus
Dmel	6353	piLocus
Dmel	1885	iiLocus
Dmel	4612	piLocus
Dmel	2809	piLocus
Dmel	1970	piLocus
Dmel	1414	iiLocus
Dmel	2884	piLocus
Dmel	4168	piLocus
Dmel	22396	piLocus
Dmel	4012	piLocus
Dmel	1855	iiLocus
Dmel	33545	piLocus
Dmel	11005	iiLocus
Dmel	2656	piLocus
Dmel	33650	piLocus
Dmel	1404	piLocus
Dmel	1564	niLocus
Dmel	7926	piLocus
Dmel	13070	piLocus
Dmel	3665	piLocus
Dmel	5486	piLocus
Dmel	2591	piLocus
Dmel	5359	piLocus
Dmel	3460	piLocus
Dmel	2114	piLocus
Dmel	10647	iiLocus
Dmel	1928	piLocus
Dmel	5678	piLocus
Dmel	1133	niLocus
Dmel	4361	piLocus
Dmel	2596	piLocus
Dmel	12930	piLocus
Dmel	5284	piLocus
Dmel	10731	iiLocus
Dmel	45618	piLocus
Dmel	2767	piLocus
Dmel	2858	piLocus
Dmel	4443	piLocus
Dmel	1870	piLocus
Dmel	3377	piLocus
Dmel	2634	piLocus
Dmel	3559	piLocus
Dmel	4122	piLocus
Dmel	2125	piLocus
Dmel	2660	piLocus
Dmel	2206	piLocus
Dmel	4091	piLocus
Dmel	2420	piLocus
Dmel	3869	piLocus
Dmel	2617	piLocus
Dmel	1138	niLocus
Dmel	35137	piLocus
Dmel	25185	piLocus
Dmel	1577	piLocus
Dmel	4938	iiLocus
Dmel	146235	piLocus
Dmel	1052	niLocus
Dmel	90738	piLocus
Dmel	4400	piLocus
Dmel	1892	piLocus
Dmel	5039	piLocus
Dmel	20659	ciLocus
Dmel	2020	piLocus
Dmel	3275	piLocus
Dmel	11916	iiLocus
Dmel	2377	piLocus
Dmel	24762	iiLocus
Dmel	19121	piLocus
Dmel	18653	iiLocus
Dmel	80949	piLocus
Dmel	15341	piLocus
Dmel	1097	niLocus
Dmel	1853	piLocus
Dmel	1847	piLocus
Dmel	1913	piLocus
Dmel	3221	iiLocus
Dmel	2083	piLocus
Dmel	3650	piLocus
Dmel	4827	piLocus
Dmel	1979	piLocus
Dmel	6577	ciLocus
Dmel	2166	piLocus
Dmel	3622	piLocus
Dmel	1977	piLocus
Dmel	2761	piLocus
Dmel	1756	piLocus
Dmel	2151	piLocus
Dmel	9638	piLocus
Dmel	2227	piLocus
Dmel	10246	piLocus
Dmel	2213	piLocus
Dmel	1395	niLocus
Dmel	2706	niLocus
Dmel	2096	piLocus
Dmel	6124	piLocus
Dmel	13080	piLocus
Dmel	8906	piLocus
Dmel	3709	piLocus
Dmel	5544	piLocus
Dmel	3835	piLocus
Dmel	6182	iiLocus
Dmel	3341	piLocus
Dmel	2230	piLocus
Dmel	67017	piLocus
Dmel	2454	piLocus
Dmel	1331	niLocus
Dmel	1118	niLocus
Dmel	14788	piLocus
Dmel	19490	piLocus
Dmel	1091	niLocus
Dmel	4514	piLocus
Dmel	14547	piLocus
Dmel	2089	piLocus
Dmel	6829	piLocus
Dmel	7606	piLocus
Dmel	1478	niLocus
Dmel	3830	piLocus
Dmel	2087	piLocus
Dmel	1652	niLocus
Dmel	8049	piLocus
Dmel	2097	piLocus
Dmel	1480	niLocus
Dmel	3478	piLocus
Dmel	2139	piLocus
Dmel	2522	piLocus
Dmel	3063	piLocus
Dmel	14339	piLocus
Dmel	22468	piLocus
Dmel	1099	niLocus
Dmel	8560	piLocus
Dmel	1923	iiLocus
Dmel	13162	piLocus
Dmel	2117	iiLocus
Dmel	4449	piLocus
Dmel	4431	piLocus
Dmel	2185	piLocus
Dmel	10048	piLocus
Dmel	4036	piLocus
Dmel	11086	piLocus
Dmel	1069	niLocus
Dmel	1907	piLocus
Dmel	2901	piLocus
Dmel	8337	ciLocus
Dmel	3723	piLocus
Dmel	2992	piLocus
Dmel	2706	piLocus
Dmel	2851	piLocus
Dmel	1534	piLocus
Dmel	596	iiLocus
Dmel	1887	piLocus
Dmel	2100	piLocus
Dmel	17186	piLocus
Dmel	3271	piLocus
Dmel	2235	niLocus
Dmel	3047	piLocus
Dmel	9295	piLocus
Dmel	9314	piLocus
Dmel	2309	piLocus
Dmel	13750	piLocus
Dmel	5178	piLocus
Dmel	4904	piLocus
Dmel	2337	piLocus
Dmel	3390	piLocus
Dmel	2849	piLocus
Dmel	2866	piLocus
Dmel	6461	piLocus
Dmel	3309	piLocus
Dmel	2989	piLocus
Dmel	7105	piLocus
Dmel	1512	niLocus
Dmel	5061	piLocus
Dmel	2960	piLocus
Dmel	16381	piLocus
Dmel	1054	iiLocus
Dmel	49405	piLocus
Dmel	1507	niLocus
Dmel	2470	piLocus
Dmel	2814	piLocus
Dmel	1668	niLocus
Dmel	4166	piLocus
Dmel	1653	piLocus
Dmel	22408	piLocus
Dmel	21544	piLocus
Dmel	20700	iiLocus
Dmel	2537	piLocus
Dmel	13023	iiLocus
Dmel	2060	piLocus
Dmel	2983	piLocus
Dmel	12345	iiLocus
Dmel	2664	piLocus
Dmel	26877	ciLocus
Dmel	75951	piLocus
Dmel	1169	niLocus
Dmel	5795	iiLocus
Dmel	27435	piLocus
Dmel	2470	piLocus
Dmel	3866	piLocus
Dmel	2955	piLocus
Dmel	3238	piLocus
Dmel	11609	piLocus
Dmel	5895	piLocus
Dmel	3628	piLocus
Dmel	3197	piLocus
Dmel	2090	piLocus
Dmel	6421	iiLocus
Dmel	2981	piLocus
